"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
114.828,0.36275,114.936,0.32101,0.04174,"y","1"
168.426,0.88648,168.534,0.84879,0.03769,"y","1"
173.004,0.86778,173.13,0.82882,0.03896,"y","1"
176.562,0.89073,176.688,0.84709,0.04364,"y","1"
192.132,1.05221,192.204,1.00906,0.04315,"y","1"
194.664,1.01275,194.802,0.88843,0.12432,"y","1"
206.406,1.0712,206.49,0.93555,0.13565,"y","1"
228.162,1.42677,228.252,1.25138,0.17539,"y","1"
232.71,1.32942,232.86,1.05888,0.27054,"y","1"
232.98,1.05999,233.064,0.93601,0.12398,"y","1"
244.554,1.13073,244.698,0.84811,0.28262,"y","1"
245.256,0.83819,245.364,0.48326,0.35493,"y","1"
265.578,0.84125,265.668,0.73824,0.10301,"y","1"
266.19,0.7273,266.268,0.44757,0.27973,"y","1"
268.176,0.45325,268.284,0.38494,0.06831,"y","1"
277.092,0.46013,277.194,0.11978,0.34035,"y","1"
282.456,0.2196,282.612,0.11981,0.09979,"y","1"
291.642,0.23847,291.768,0.07353,0.16494,"y","1"
300.408,0.15728,300.528,0.07874,0.07854,"y","1"
314.304,0.17728,314.394,0.02152,0.15576,"y","1"
349.296,0.22759,349.386,0.01462,0.21297,"y","1"
385.158,0.32485,385.236,0.20261,0.12224,"y","1"
392.208,0.28873,392.316,0,0.3082,"y","1"
423.972,0.11187,424.068,0.01055,0.10132,"y","1"
