"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
67.086,0.05968,67.164,0.02411,0.03557,"y","1"
137.1,0.21992,137.19,0.14243,0.07749,"y","1"
167.49,0.36944,167.556,0.21715,0.15229,"y","1"
180.018,0.32603,180.096,0.17727,0.14876,"y","1"
204.216,0.45777,204.33,0.42723,0.03054,"y","1"
213.006,0.51903,213.102,0.38526,0.13377,"y","1"
213.114,0.38738,213.18,0.09966,0.28772,"y","1"
244.998,0.29751,245.064,0.17721,0.1203,"y","1"
256.89,0.28213,256.962,0.18627,0.09586,"y","1"
286.014,0.35756,286.092,0.32033,0.03723,"y","1"
286.884,0.32579,287.04,0.02056,0.30523,"y","1"
361.224,0.02965,361.242,0,0.05555,"n",NA
361.338,0.03668,361.362,0.02253,0.01415,"n",NA
361.41,0.03052,361.434,0.00599,0.02453,"n",NA
361.452,0.01843,361.47,0.00306,0.01537,"n",NA
