"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
34.77,0.04901,34.8,0.02459,0.02442,"y","1"
44.286,0.02967,44.346,0,0.03856,"y","1"
127.116,0.01542,127.182,0,0.02957,"n",NA
174.546,0.11665,174.672,0,0.13663,"y","1"
221.058,0.19019,221.142,0.0158,0.17439,"y","1"
227.658,0.05027,227.748,0.00358,0.04669,"y","1"
241.95,0.04237,242.016,0,0.05902,"y","1"
482.652,0.10194,482.916,0.02957,0.07237,"y","u"
525.534,0.15879,525.63,0.01026,0.14853,"y","1"
525.648,0.02741,525.666,0.01597,0.01144,"n",NA
525.684,0.02434,525.702,0.0091,0.01524,"n",NA
537.846,0.07167,537.948,0.0349,0.03677,"y","1"
538.2,0.03861,538.254,0,0.05269,"y","1"
