"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
214.17,0.69719,214.25999,0.59604,0.10115,"y","1"
228.60001,0.73628,228.69,0.68763,0.0486500000000001,"y","1"
236.166,0.77683,236.226,0.69767,0.07916,"y","1"
260.51401,0.93404,260.57999,0.72539,0.20865,"y","1"
266.25,0.756,266.358,0.67177,0.08423,"y","1"
266.36401,0.67201,266.42401,0.40567,0.26634,"y","1"
323.30399,1.06474,323.40601,0.89296,0.17178,"y","1"
337.75201,1.12722,337.82401,1.07791,0.0493100000000002,"y","1"
350.802,1.27251,350.88,1.23789,0.0346200000000001,"y","1"
372.75601,1.63142,372.86401,1.44645,0.18497,"y","1"
373.04999,1.02557,373.06201,1.01167,0.0139,"n",NA
373.06799,1.01979,373.086,1.00518,0.01461,"n",NA
396.67801,0.60386,396.68399,0.59203,0.01183,"n",NA
396.76199,0.57571,396.78,0.56303,0.01268,"n",NA
396.858,0.56406,396.92401,0.40882,0.15524,"y","1"
410.09399,0.57984,410.16599,0.44462,0.13522,"y","1"
475.07401,1.35519,475.164,1.31167,0.04352,"y","1"
487.026,1.51057,487.10999,1.20976,0.30081,"y","1"
