"","V1","V2","V3"
"1","End date","2/12/2017",""
"2","Specimen label","10BG_Unk1",""
"3","Maximum Load","0.11691","N"
"4","Time","Extension","Load"
"5","(s)","(mm)","(N)"
"6","0.00000","0.00000","0.00067"
"7","0.00600","0.00000","0.00070"
"8","0.01200","0.00000","0.00074"
"9","0.01800","0.00018","0.00069"
"10","0.02400","0.00024","0.00051"
"11","0.03000","0.00030","0.00019"
"12","0.03600","0.00048","-0.00005"
"13","0.04200","0.00060","-0.00019"
"14","0.04800","0.00084","-0.00024"
"15","0.05400","0.00108","-0.00015"
"16","0.06000","0.00132","0.00004"
"17","0.06600","0.00161","0.00021"
"18","0.07200","0.00197","0.00027"
"19","0.07800","0.00233","0.00026"
"20","0.08400","0.00269","0.00017"
"21","0.09000","0.00311","0.00007"
"22","0.09600","0.00353","0.00002"
"23","0.10200","0.00401","0.00006"
"24","0.10800","0.00448","0.00019"
"25","0.11400","0.00502","0.00029"
"26","0.12000","0.00556","0.00029"
"27","0.12600","0.00610","0.00029"
"28","0.13200","0.00670","0.00028"
"29","0.13800","0.00729","0.00018"
"30","0.14400","0.00795","-0.00001"
"31","0.15000","0.00855","0.00000"
"32","0.15600","0.00915","0.00005"
"33","0.16200","0.00981","0.00000"
"34","0.16800","0.01040","0.00006"
"35","0.17400","0.01106","0.00010"
"36","0.18000","0.01172","0.00007"
"37","0.18600","0.01238","0.00011"
"38","0.19200","0.01303","0.00034"
"39","0.19800","0.01369","0.00053"
"40","0.20400","0.01435","0.00065"
"41","0.21000","0.01501","0.00086"
"42","0.21600","0.01566","0.00125"
"43","0.22200","0.01632","0.00147"
"44","0.22800","0.01704","0.00144"
"45","0.23400","0.01770","0.00129"
"46","0.24000","0.01836","0.00112"
"47","0.24600","0.01901","0.00102"
"48","0.25200","0.01961","0.00094"
"49","0.25800","0.02027","0.00088"
"50","0.26400","0.02087","0.00072"
"51","0.27000","0.02146","0.00045"
"52","0.27600","0.02206","0.00019"
"53","0.28200","0.02266","0.00008"
"54","0.28800","0.02326","0.00001"
"55","0.29400","0.02386","0.00009"
"56","0.30000","0.02439","0.00036"
"57","0.30600","0.02499","0.00064"
"58","0.31200","0.02559","0.00071"
"59","0.31800","0.02613","0.00072"
"60","0.32400","0.02673","0.00063"
"61","0.33000","0.02726","0.00052"
"62","0.33600","0.02786","0.00037"
"63","0.34200","0.02840","0.00024"
"64","0.34800","0.02894","0.00022"
"65","0.35400","0.02948","0.00036"
"66","0.36000","0.03001","0.00051"
"67","0.36600","0.03055","0.00074"
"68","0.37200","0.03109","0.00099"
"69","0.37800","0.03163","0.00094"
"70","0.38400","0.03211","0.00068"
"71","0.39000","0.03265","0.00046"
"72","0.39600","0.03318","0.00035"
"73","0.40200","0.03372","0.00034"
"74","0.40800","0.03420","0.00042"
"75","0.41400","0.03474","0.00033"
"76","0.42000","0.03522","0.00021"
"77","0.42600","0.03575","0.00006"
"78","0.43200","0.03623","0.00004"
"79","0.43800","0.03677","0.00019"
"80","0.44400","0.03725","0.00026"
"81","0.45000","0.03773","0.00026"
"82","0.45600","0.03827","0.00049"
"83","0.46200","0.03874","0.00067"
"84","0.46800","0.03928","0.00065"
"85","0.47400","0.03976","0.00067"
"86","0.48000","0.04030","0.00067"
"87","0.48600","0.04078","0.00074"
"88","0.49200","0.04131","0.00085"
"89","0.49800","0.04179","0.00083"
"90","0.50400","0.04233","0.00088"
"91","0.51000","0.04281","0.00084"
"92","0.51600","0.04335","0.00086"
"93","0.52200","0.04383","0.00079"
"94","0.52800","0.04436","0.00064"
"95","0.53400","0.04484","0.00056"
"96","0.54000","0.04532","0.00062"
"97","0.54600","0.04580","0.00075"
"98","0.55200","0.04634","0.00091"
"99","0.55800","0.04682","0.00107"
"100","0.56400","0.04729","0.00116"
"101","0.57000","0.04777","0.00129"
"102","0.57600","0.04825","0.00132"
"103","0.58200","0.04873","0.00112"
"104","0.58800","0.04921","0.00079"
"105","0.59400","0.04974","0.00054"
"106","0.60000","0.05022","0.00039"
"107","0.60600","0.05076","0.00037"
"108","0.61200","0.05124","0.00043"
"109","0.61800","0.05172","0.00056"
"110","0.62400","0.05226","0.00078"
"111","0.63000","0.05273","0.00098"
"112","0.63600","0.05321","0.00114"
"113","0.64200","0.05375","0.00121"
"114","0.64800","0.05423","0.00113"
