"Ptime","Pload","Vtime","Vload","yDelta"
161.448,0.42354,161.508,0.33212,0.09142
290.358,2.05197,290.43,1.83677,0.2152
309.822,1.01857,309.954,0.86169,0.15688
335.454,0.82311,335.562,0.62521,0.1979
345.378,0.9065,345.462,0.76714,0.13936
345.702,0.753,345.804,0.64976,0.10324
350.07,0.73487,350.136,0.39606,0.33881
356.706,0.55163,356.79,0.38989,0.16174
372.594,0.66096,372.708,0.47848,0.18248
382.776,0.63183,382.842,0.31672,0.31511
403.128,0.58922,403.332,0.47112,0.1181
418.11,0.61796,418.176,0.5557,0.06226
448.482,0.60178,448.626,0.25798,0.3438
453.12,0.29426,453.312,0,0.31921
