"Ptime","Pload","Vtime","Vload","yDelta"
44.286,0.02967,44.346,0,0.03856
174.546,0.11665,174.672,0,0.13663
221.058,0.19019,221.142,0.0158,0.17439
227.658,0.05027,227.748,0.00358,0.04669
241.95,0.04237,242.016,0,0.05902
482.652,0.10194,482.916,0.02957,0.07237
525.534,0.15879,525.63,0.01026,0.14853
537.846,0.07167,537.948,0.0349,0.03677
538.2,0.03861,538.254,0,0.05269
