"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
292.44,0.58012,292.5,0.52482,0.0553,"y","1"
307.842,0.6363,307.896,0.37205,0.26425,"y","1"
307.908,0.38714,307.92,0.36971,0.01743,"n",NA
307.938,0.38645,307.95,0.37671,0.00974000000000003,"n",NA
307.992,0.38848,308.004,0.37849,0.00999,"n",NA
308.016,0.38618,308.028,0.37897,0.00721000000000005,"n",NA
308.046,0.38472,308.058,0.37777,0.00695000000000001,"n",NA
308.07,0.38282,308.088,0.37618,0.00663999999999998,"n",NA
310.98,0.38741,311.052,0.02361,0.3638,"y","1"
311.142,0.06365,311.16,0.04663,0.01702,"n",NA
311.178,0.05666,311.196,0.04935,0.00731,"n",NA
311.25,0.06211,311.268,0.0543,0.00781,"n",NA
311.286,0.05766,311.304,0.04943,0.00823,"n",NA
383.778,0.25356,383.838,0.1074,0.14616,"y","1"
383.856,0.11766,383.868,0.10836,0.0093,"n",NA
383.916,0.12227,383.928,0.11472,0.00755,"n",NA
383.946,0.12024,383.958,0.11436,0.00588,"n",NA
383.976,0.11789,383.988,0.11379,0.00409999999999999,"n",NA
428.718,0.34063,428.766,0.2749,0.06573,"y","1"
428.778,0.27742,428.79,0.27097,0.00645000000000001,"n",NA
428.802,0.27267,428.814,0.26717,0.0055,"n",NA
435.63,0.31647,435.696,0.28015,0.03632,"y","1"
451.788,0.41322,451.86,0.36776,0.04546,"y","1"
463.32,0.43982,463.374,0.25923,0.18059,"y","1"
463.386,0.26414,463.398,0.25215,0.01199,"n",NA
463.41,0.26458,463.422,0.25889,0.00568999999999997,"n",NA
463.464,0.26653,463.476,0.25931,0.00722,"n",NA
463.494,0.26464,463.506,0.25763,0.00700999999999996,"n",NA
463.518,0.26376,463.53,0.25848,0.00528000000000001,"n",NA
463.548,0.26228,463.56,0.25671,0.00557000000000002,"n",NA
463.572,0.26082,463.584,0.25601,0.00480999999999998,"n",NA
473.07,0.3013,473.13,0.21927,0.08203,"y","1"
473.142,0.22485,473.154,0.21993,0.00492000000000001,"n",NA
473.172,0.22595,473.184,0.22054,0.00541,"n",NA
478.362,0.2377,478.428,0.11805,0.11965,"y","1"
478.446,0.1249,478.458,0.11362,0.01128,"n",NA
478.476,0.12385,478.488,0.11771,0.00614000000000001,"n",NA
478.542,0.12729,478.554,0.11931,0.00797999999999999,"n",NA
478.572,0.12311,478.584,0.11835,0.00476,"n",NA
495.948,0.16734,495.99,0.03437,0.13297,"y","1"
496.002,0.0371,496.026,0.01531,0.02179,"n",NA
496.2,0.03497,496.218,0.02787,0.0071,"n",NA
