"Ptime","Pload","Vtime","Vload"
212.742,0.34034,212.814,0.23474
212.82,0.24022,212.838,0.22639
291.726,0.74509,291.828,0.39529
303.6,0.45941,303.696,0.34877
305.01,0.35904,305.1,0.09939
365.934,0.50963,365.982,0.48237
367.5,0.47622,367.656,0.37178
379.65,0.32783,379.74,0.25424
459.57,0.55224,459.648,0.24577
459.792,0.04925,459.81,0.0209
459.828,0.03672,459.846,0.01912
459.864,0.03157,459.888,0.01648
460.002,0.0452,460.068,0.01329
510.498,0.12725,510.606,0.07437
533.76,0.12749,533.832,0.08471
704.688,0.20324,704.814,0.17238
707.112,0.18068,707.214,0.06628
841.746,0.25032,841.788,0.033
841.794,0.03368,841.824,-0.01049
