End date,"12/16/2016"
Specimen label,"6DG_45"
Maximum Load,"0.00540",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00002"
"0.00600","0.00000","-0.00002"
"0.01200","0.00000","-0.00001"
"0.01800","0.00012","0.00007"
"0.02400","0.00018","0.00013"
"0.03000","0.00030","0.00020"
"0.03600","0.00042","0.00029"
"0.04200","0.00066","0.00026"
"0.04800","0.00084","0.00013"
"0.05400","0.00108","0.00013"
"0.06000","0.00132","0.00009"
"0.06600","0.00161","0.00018"
"0.07200","0.00197","0.00023"
"0.07800","0.00233","0.00019"
"0.08400","0.00269","0.00016"
"0.09000","0.00311","0.00008"
"0.09600","0.00353","0.00006"
"0.10200","0.00401","0.00010"
"0.10800","0.00448","0.00009"
"0.11400","0.00496","0.00018"
"0.12000","0.00556","0.00032"
"0.12600","0.00610","0.00032"
"0.13200","0.00670","0.00029"
"0.13800","0.00729","0.00023"
"0.14400","0.00789","0.00014"
"0.15000","0.00849","0.00025"
"0.15600","0.00915","0.00027"
"0.16200","0.00981","0.00021"
"0.16800","0.01040","0.00015"
"0.17400","0.01112","0.00007"
"0.18000","0.01178","0.00014"
"0.18600","0.01244","0.00021"
"0.19200","0.01309","0.00015"
"0.19800","0.01375","0.00018"
"0.20400","0.01441","0.00023"
"0.21000","0.01513","0.00019"
"0.21600","0.01578","0.00030"
"0.22200","0.01644","0.00042"
"0.22800","0.01710","0.00042"
"0.23400","0.01776","0.00038"
"0.24000","0.01842","0.00024"
"0.24600","0.01901","0.00008"
"0.25200","0.01967","0.00001"
"0.25800","0.02027","-0.00005"
"0.26400","0.02087","-0.00011"
"0.27000","0.02146","-0.00015"
"0.27600","0.02206","-0.00018"
"0.28200","0.02266","-0.00011"
"0.28800","0.02326","-0.00011"
"0.29400","0.02386","-0.00013"
"0.30000","0.02445","-0.00007"
"0.30600","0.02505","-0.00004"
"0.31200","0.02559","0.00011"
"0.31800","0.02619","0.00022"
"0.32400","0.02673","0.00016"
"0.33000","0.02732","0.00007"
"0.33600","0.02786","0.00002"
"0.34200","0.02840","-0.00006"
"0.34800","0.02894","-0.00009"
"0.35400","0.02954","0.00005"
"0.36000","0.03007","0.00013"
"0.36600","0.03061","0.00028"
"0.37200","0.03109","0.00042"
"0.37800","0.03163","0.00045"
"0.38400","0.03217","0.00046"
"0.39000","0.03270","0.00042"
"0.39600","0.03318","0.00041"
"0.40200","0.03372","0.00051"
"0.40800","0.03420","0.00052"
"0.41400","0.03474","0.00059"
"0.42000","0.03522","0.00065"
"0.42600","0.03575","0.00062"
"0.43200","0.03629","0.00059"
"0.43800","0.03677","0.00056"
"0.44400","0.03731","0.00055"
"0.45000","0.03779","0.00055"
"0.45600","0.03827","0.00046"
"0.46200","0.03880","0.00028"
"0.46800","0.03928","0.00020"
"0.47400","0.03976","0.00012"
"0.48000","0.04024","0.00009"
"0.48600","0.04072","0.00011"
"0.49200","0.04125","0.00016"
"0.49800","0.04173","0.00033"
"0.50400","0.04221","0.00049"
"0.51000","0.04275","0.00061"
"0.51600","0.04323","0.00072"
"0.52200","0.04377","0.00068"
"0.52800","0.04424","0.00061"
"0.53400","0.04472","0.00064"
"0.54000","0.04526","0.00059"
"0.54600","0.04574","0.00061"
"0.55200","0.04622","0.00062"
"0.55800","0.04676","0.00063"
"0.56400","0.04723","0.00072"
"0.57000","0.04771","0.00077"
"0.57600","0.04825","0.00070"
"0.58200","0.04873","0.00079"
"0.58800","0.04921","0.00088"
"0.59400","0.04974","0.00091"
"0.60000","0.05022","0.00091"
"0.60600","0.05070","0.00080"
"0.61200","0.05124","0.00057"
"0.61800","0.05172","0.00057"
"0.62400","0.05220","0.00053"
"0.63000","0.05267","0.00049"
"0.63600","0.05321","0.00044"
"0.64200","0.05369","0.00034"
"0.64800","0.05423","0.00026"
"0.65400","0.05471","0.00020"
"0.66000","0.05525","0.00015"
"0.66600","0.05578","0.00019"
"0.67200","0.05626","0.00017"
"0.67800","0.05680","0.00020"
"0.68400","0.05728","0.00032"
"0.69000","0.05782","0.00032"
"0.69600","0.05829","0.00032"
"0.70200","0.05877","0.00039"
"0.70800","0.05931","0.00038"
"0.71400","0.05979","0.00046"
"0.72000","0.06027","0.00052"
"0.72600","0.06075","0.00044"
"0.73200","0.06128","0.00044"
"0.73800","0.06176","0.00041"
"0.74400","0.06224","0.00042"
"0.75000","0.06278","0.00050"
"0.75600","0.06326","0.00048"
"0.76200","0.06374","0.00045"
"0.76800","0.06427","0.00042"
"0.77400","0.06475","0.00024"
"0.78000","0.06523","0.00008"
"0.78600","0.06577","0.00006"
"0.79200","0.06625","0.00012"
"0.79800","0.06673","0.00025"
"0.80400","0.06726","0.00038"
"0.81000","0.06774","0.00041"
"0.81600","0.06828","0.00060"
