"Ptime","Pload","Vtime","Vload"
261.764,0.27112,261.854,0.19635
330.398,0.72103,330.542,0.58978
356.516,0.72436,356.57,0.31842
356.576,0.32304,356.594,0.30338
382.304,0.39801,382.382,0.10415
382.394,0.10977,382.412,0.08609
382.43,0.10418,382.442,0.09191
382.46,0.10507,382.478,0.08906
382.49,0.09748,382.508,0.08531
418.574,0.19467,418.808,0.00541
418.82,0.01311,418.844,-0.02186
418.976,0.01255,419,-0.00326
