End date,"2/12/2017"
Specimen label,"13BG_3"
Maximum Load,"0.01368",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.00001"
"0.00600","0.00000","-0.00014"
"0.01200","0.00000","-0.00038"
"0.01800","0.00012","-0.00044"
"0.02400","0.00018","-0.00038"
"0.03000","0.00030","-0.00026"
"0.03600","0.00042","-0.00007"
"0.04200","0.00060","0.00006"
"0.04800","0.00078","0.00018"
"0.05400","0.00102","0.00027"
"0.06000","0.00126","0.00025"
"0.06600","0.00155","0.00018"
"0.07200","0.00191","0.00022"
"0.07800","0.00221","0.00032"
"0.08400","0.00263","0.00037"
"0.09000","0.00305","0.00051"
"0.09600","0.00353","0.00054"
"0.10200","0.00401","0.00045"
"0.10800","0.00448","0.00037"
"0.11400","0.00502","0.00045"
"0.12000","0.00556","0.00058"
"0.12600","0.00616","0.00060"
"0.13200","0.00676","0.00074"
"0.13800","0.00741","0.00084"
"0.14400","0.00801","0.00080"
"0.15000","0.00867","0.00079"
"0.15600","0.00933","0.00062"
"0.16200","0.00998","0.00030"
"0.16800","0.01064","0.00011"
"0.17400","0.01130","0.00005"
"0.18000","0.01196","-0.00008"
"0.18600","0.01268","-0.00024"
"0.19200","0.01333","-0.00039"
"0.19800","0.01399","-0.00036"
"0.20400","0.01465","-0.00029"
"0.21000","0.01525","-0.00029"
"0.21600","0.01590","-0.00028"
"0.22200","0.01656","-0.00018"
"0.22800","0.01716","-0.00011"
"0.23400","0.01782","-0.00004"
"0.24000","0.01847","0.00020"
"0.24600","0.01913","0.00046"
"0.25200","0.01973","0.00070"
"0.25800","0.02039","0.00077"
"0.26400","0.02099","0.00080"
"0.27000","0.02164","0.00072"
"0.27600","0.02224","0.00060"
"0.28200","0.02284","0.00053"
"0.28800","0.02344","0.00044"
"0.29400","0.02404","0.00024"
"0.30000","0.02463","0.00005"
"0.30600","0.02517","-0.00003"
"0.31200","0.02577","0.00008"
"0.31800","0.02631","0.00025"
"0.32400","0.02685","0.00042"
"0.33000","0.02744","0.00058"
"0.33600","0.02798","0.00076"
"0.34200","0.02852","0.00062"
"0.34800","0.02906","0.00039"
"0.35400","0.02960","0.00018"
"0.36000","0.03013","-0.00012"
"0.36600","0.03067","-0.00016"
"0.37200","0.03121","-0.00004"
"0.37800","0.03175","0.00005"
"0.38400","0.03229","0.00018"
"0.39000","0.03282","0.00027"
"0.39600","0.03330","0.00035"
"0.40200","0.03384","0.00038"
"0.40800","0.03432","0.00045"
"0.41400","0.03486","0.00050"
"0.42000","0.03534","0.00037"
"0.42600","0.03581","0.00010"
"0.43200","0.03635","-0.00004"
"0.43800","0.03683","-0.00014"
"0.44400","0.03737","-0.00014"
"0.45000","0.03785","-0.00005"
"0.45600","0.03833","0.00013"
"0.46200","0.03880","0.00025"
"0.46800","0.03934","0.00035"
"0.47400","0.03982","0.00043"
"0.48000","0.04030","0.00043"
"0.48600","0.04084","0.00047"
"0.49200","0.04131","0.00057"
"0.49800","0.04179","0.00067"
"0.50400","0.04233","0.00070"
"0.51000","0.04281","0.00061"
"0.51600","0.04335","0.00061"
"0.52200","0.04383","0.00049"
"0.52800","0.04430","0.00040"
"0.53400","0.04484","0.00041"
"0.54000","0.04532","0.00046"
"0.54600","0.04580","0.00040"
"0.55200","0.04628","0.00025"
"0.55800","0.04676","0.00011"
"0.56400","0.04729","0.00014"
"0.57000","0.04777","0.00020"
"0.57600","0.04825","0.00022"
"0.58200","0.04873","0.00036"
"0.58800","0.04927","0.00033"
"0.59400","0.04974","0.00020"
"0.60000","0.05022","0.00008"
"0.60600","0.05070","-0.00007"
"0.61200","0.05124","-0.00025"
"0.61800","0.05172","-0.00025"
"0.62400","0.05220","-0.00008"
"0.63000","0.05273","0.00007"
"0.63600","0.05321","0.00018"
"0.64200","0.05369","0.00029"
"0.64800","0.05423","0.00027"
"0.65400","0.05471","0.00018"
"0.66000","0.05525","0.00004"
"0.66600","0.05572","-0.00015"
"0.67200","0.05620","-0.00026"
"0.67800","0.05674","-0.00033"
"0.68400","0.05722","-0.00030"
"0.69000","0.05770","-0.00022"
