"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
175.026,0.07266,120.696,0.04706,0.0256,"n",NA
175.05,0.1628,175.086,0.12547,0.03733,"y","1"
176.42999,0.12757,176.46001,0.11656,0.01101,"y","1"
178.70399,0.11425,178.76401,0.07722,0.03703,"y","1"
310.98001,0.74737,311.02802,0.54774,0.19963,"y","1"
311.034,0.54805,311.052,0.53464,0.01341,"n",NA
311.26199,0.53537,311.28,0.528,0.00736999999999999,"n",NA
324.16199,0.62602,324.216,0.56426,0.06176,"y","1"
324.22198,0.56364,324.228,0.56035,0.00329000000000002,"n",NA
382.67999,1.08719,382.746,0.92066,0.16653,"y","1"
382.75201,0.92079,382.758,0.91693,0.00385999999999997,"n",NA
382.776,0.92312,382.78201,0.91975,0.0033700000000001,"n",NA
382.78799,0.91976,382.79999,0.91568,0.00407999999999997,"n",NA
382.81201,0.91893,382.82401,0.91441,0.00452000000000008,"n",NA
429.48001,1.06104,429.54599,0.6392,0.42184,"y","1"
429.55801,0.65458,429.57001,0.64387,0.01071,"n",NA
429.64801,0.65971,429.65399,0.65643,0.00328000000000006,"n",NA
429.672,0.65911,429.67801,0.65575,0.00335999999999992,"n",NA
440.33401,0.83902,440.38199,0.71883,0.12019,"y","1"
440.388,0.71784,440.39999,0.70523,0.01261,"n",NA
470.79001,1.0812,470.85001,1.01104,0.07016,"y","1"
472.58401,1.00982,472.65601,0.74773,0.26209,"y","1"
472.668,0.75606,472.67999,0.75022,0.00583999999999996,"n",NA
472.84201,0.76085,472.84799,0.7575,0.00335000000000008,"n",NA
482.59201,0.88961,482.65799,0.66266,0.22695,"y","1"
482.67001,0.66801,482.67599,0.66297,0.00504000000000004,"n",NA
482.73599,0.67052,482.742,0.66602,0.00450000000000006,"n",NA
482.754,0.66732,482.76599,0.66103,0.00629000000000002,"n",NA
482.77802,0.66199,482.79001,0.65499,0.00700000000000001,"n",NA
482.79599,0.65579,482.814,0.64841,0.00737999999999994,"n",NA
482.82001,0.64987,482.832,0.64552,0.00434999999999997,"n",NA
536.80798,0.99161,536.86798,0.95478,0.03683,"y","1"
569.67603,1.0857,569.742,0.90105,0.18465,"y","1"
569.75403,0.9077,569.76001,0.90253,0.0051699999999999,"n",NA
570.03601,0.90853,570.10797,0.68422,0.22431,"y","1"
570.12,0.69389,570.12598,0.68953,0.00436000000000003,"n",NA
570.22803,0.70437,570.23999,0.69859,0.00578000000000001,"n",NA
570.24597,0.70097,570.258,0.69754,0.00342999999999993,"n",NA
575.00403,0.74164,575.06403,0.36793,0.37371,"y","1"
575.07001,0.37436,575.08801,0.36006,0.0143,"n",NA
575.17798,0.40813,575.19,0.39585,0.01228,"n",NA
575.28003,0.38228,575.29199,0.37564,0.00664000000000003,"n",NA
575.30402,0.37904,575.32202,0.37443,0.00461,"n",NA
575.55603,0.40027,575.604,0.38414,0.01613,"n",NA
626.29199,0.66009,626.32202,0.64609,0.0139999999999999,"n",NA
637.61401,0.69853,637.67401,0.37539,0.32314,"y","1"
637.68597,0.37947,637.698,0.36436,0.01511,"n",NA
637.79401,0.39733,637.80603,0.38645,0.01088,"n",NA
637.81799,0.39326,637.83002,0.38632,0.00694,"n",NA
637.84198,0.39059,637.85999,0.38247,0.00812000000000002,"n",NA
660.59399,0.51792,660.672,0.44679,0.07113,"y","1"
660.99597,0.44666,661.04999,0.41211,0.03455,"y","1"
