"Ptime","Pload","Vtime","Vload","yDelta","del","num_th_broke"
131.64,0.24276,131.664,0.19896,0.0438,"n",NA
131.682,0.21143,131.694,0.20628,0.00515000000000002,"n",NA
131.766,0.21883,131.79,0.21027,0.00855999999999998,"n",NA
145.416,0.43199,145.464,0.40177,0.03022,"y","1"
153.372,0.48647,153.438,0.40067,0.0858,"y","1"
153.45,0.40325,153.486,0.38755,0.0157,"n",NA
167.856,0.50289,167.934,0.36602,0.13687,"y","1"
174.072,0.38382,174.138,0.12874,0.25508,"y","1"
174.15,0.14,174.168,0.13127,0.00873000000000002,"n",NA
174.216,0.1484,174.228,0.13951,0.00889000000000001,"n",NA
174.246,0.1458,174.258,0.13825,0.00755,"n",NA
174.276,0.14403,174.288,0.13775,0.00627999999999998,"n",NA
174.336,0.14441,174.348,0.14006,0.00435000000000002,"n",NA
179.352,0.17851,179.43,0.01237,0.16614,"y","1"
254.64,0.48759,254.712,0.42379,0.0638,"y","u"
254.766,0.42618,254.844,0.28638,0.1398,"y","1"
284.184,0.60296,284.238,0.41024,0.19272,"y","1"
284.244,0.41059,284.262,0.39613,0.01446,"n",NA
284.316,0.3967,284.328,0.38971,0.00699,"n",NA
290.184,0.41225,290.238,0.25744,0.15481,"y","1"
290.25,0.27063,290.292,0.24486,0.02577,"n",NA
291.018,0.25522,291.054,0.24211,0.01311,"n",NA
319.416,0.43962,319.482,0.3441,0.09552,"y","1"
320.238,0.32594,320.304,0.08391,0.24203,"y","1"
320.316,0.08826,320.334,0.0812,0.00706000000000001,"n",NA
320.562,0.10226,320.58,0.09501,0.00725000000000001,"n",NA
346.83,0.21763,346.878,0,0.2451,"y","1"
346.896,0.01293,346.92,0,0.04275,"n",NA
